100_1-e,0.016,0.025,0.031,0.038,0.027,0.055,0.166,0.316,0.590,1.467,5.389,22.206,84.311,179.925,179.974,
100_2,0.014,0.016,0.018,0.025,0.014,0.032,0.029,0.033,0.031,0.033,0.057,0.051,0.045,0.061,0.073,
100_3-e,0.013,0.016,0.014,0.023,0.022,0.019,0.032,0.019,0.027,0.023,0.038,0.035,0.041,0.048,0.053,
100_4-e,0.009,0.019,0.014,0.021,0.030,0.029,0.025,0.037,0.035,0.035,0.039,0.054,0.037,0.039,0.054,
100_5-e,0.005,0.013,0.018,0.028,0.024,0.053,0.163,0.340,0.576,1.516,5.924,18.819,90.665,179.976,179.972,
200_1-e,0.016,0.021,0.024,0.027,0.054,0.079,0.186,0.345,0.687,1.555,4.618,20.208,71.021,179.966,179.965,
200_2-e,0.010,0.020,0.013,0.038,0.048,0.060,0.055,0.100,0.098,0.146,0.181,0.185,0.254,0.296,0.374,
200_3-e,0.016,0.018,0.036,0.036,0.118,0.462,2.858,19.266,179.964,179.960,179.916,179.765,179.408,178.952,82.528,
200_4-e,0.026,0.031,0.057,0.063,0.102,0.395,2.602,18.282,179.966,179.988,179.940,179.743,179.422,178.976,90.091,
200_5-e,0.043,0.031,0.028,0.024,0.046,0.047,0.063,0.075,0.111,0.160,0.154,0.210,0.285,0.418,0.407,
400_1-e,0.016,0.031,0.052,0.122,0.241,0.788,3.859,24.580,179.980,179.968,179.909,179.717,179.366,178.999,86.188,
400_2-e,0.044,0.053,0.054,0.059,0.064,0.126,0.195,0.353,0.491,0.683,0.776,1.068,1.314,1.593,1.959,
ack,0.012,0.007,0.018,0.027,0.126,1.397,11.503,168.803,179.966,179.932,179.832,179.585,178.594,76.110,103.552,
a-cppr,0.028,0.022,0.028,0.032,0.015,0.021,0.022,0.017,0.018,0.027,0.029,0.024,0.024,0.023,0.027,
a-init-me,0.021,0.019,0.035,0.027,0.016,0.019,0.018,0.016,0.021,0.023,0.029,0.032,0.027,0.040,0.046,
a-init,0.013,0.009,0.014,0.019,0.022,0.013,0.022,0.020,0.020,0.029,0.027,0.040,0.040,0.047,0.048,
a-max-me,0.007,0.011,0.025,0.030,0.018,0.024,0.019,0.017,0.019,0.015,0.013,0.022,0.019,0.020,0.020,
a-max,0.011,0.011,0.013,0.016,0.020,0.019,0.019,0.021,0.020,0.015,0.021,0.023,0.017,0.012,0.015,
copy_intro,0.007,0.013,0.009,0.012,0.012,0.011,0.017,0.015,0.019,0.018,0.015,0.023,0.015,0.022,0.018,
e-fact,0.007,0.009,0.002,0.006,0.011,0.015,0.016,0.013,0.018,0.016,0.017,0.014,0.023,0.020,0.025,
e-simple,0.012,0.012,0.013,0.009,0.012,0.009,0.009,0.012,0.011,0.007,0.011,0.012,0.010,0.012,0.005,
hors,0.008,0.009,0.007,0.008,0.013,0.013,0.008,0.013,0.010,0.011,0.013,0.013,0.008,0.010,0.016,
hrec,0.008,0.006,0.014,0.016,0.016,0.022,0.076,0.366,3.266,26.253,179.970,179.973,179.962,179.959,179.960,
intro1,0.012,0.015,0.015,0.013,0.013,0.013,0.009,0.006,0.014,0.010,0.010,0.013,0.010,0.002,0.008,
intro3,0.008,0.009,0.014,0.010,0.013,0.013,0.013,0.012,0.007,0.009,0.009,0.007,0.012,0.012,0.007,
l-zipmap,0.009,0.010,0.015,0.016,0.014,0.019,0.022,0.018,0.027,0.027,0.025,0.023,0.029,0.031,0.032,
l-zipunzip,0.013,0.009,0.010,0.011,0.016,0.015,0.015,0.025,0.013,0.030,0.030,0.042,0.039,0.049,0.062,
max,0.012,0.004,0.013,0.009,0.013,0.009,0.012,0.013,0.009,0.016,0.013,0.009,0.013,0.013,0.012,
mc91-e,0.012,0.013,0.014,0.012,0.021,0.052,0.172,0.333,0.906,3.575,12.144,71.534,179.964,179.974,179.955,
mc91,0.014,0.014,0.015,0.017,0.017,0.050,0.171,0.357,0.894,3.551,12.121,74.028,179.981,179.981,179.961,
mult-e-m2,0.005,0.010,0.013,0.007,0.011,0.011,0.015,0.016,0.018,0.011,0.018,0.023,0.020,0.022,0.022,
mult-e-m3,0.013,0.012,0.009,0.010,0.009,0.011,0.017,0.012,0.013,0.012,0.010,0.008,0.019,0.014,0.017,
mult-e,0.012,0.012,0.009,0.013,0.010,0.015,0.016,0.012,0.011,0.009,0.014,0.018,0.017,0.018,0.013,
mult,0.012,0.009,0.013,0.014,0.010,0.015,0.011,0.016,0.014,0.016,0.012,0.015,0.017,0.017,0.008,
repeat-e,0.013,0.012,0.013,0.013,0.013,0.010,0.010,0.011,0.015,0.007,0.016,0.012,0.012,0.014,0.012,
r-lock-e,0.009,0.009,0.013,0.008,0.012,0.013,0.013,0.009,0.016,0.012,0.013,0.013,0.005,0.013,0.012,
r-lock,0.008,0.013,0.010,0.009,0.008,0.013,0.013,0.013,0.009,0.007,0.011,0.013,0.010,0.015,0.005,
sum-e,0.007,0.013,0.009,0.013,0.014,0.013,0.015,0.014,0.014,0.015,0.006,0.016,0.016,0.016,0.017,
sum-mult-e,0.009,0.009,0.013,0.016,0.019,0.021,0.053,0.142,0.218,0.201,0.237,0.286,0.326,0.311,0.299,
sum,0.012,0.007,0.012,0.013,0.012,0.014,0.013,0.010,0.014,0.015,0.011,0.015,0.016,0.014,0.017,
