PAD,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum,Err:510
0.031,0.012,0.014,0.014,0.012,0.012,0.012,0.012,0.013,0.015,0.012,0.012,0.011,0.011,0.010,0.011,0.010,0.011,0.011,0.009,0.011,0.014,0.010,0.010,0.009,
0.010,0.012,0.010,0.011,0.009,0.008,0.011,0.010,0.009,0.011,0.010,0.010,0.010,0.011,0.010,0.011,0.011,0.012,0.010,0.010,0.011,0.010,0.010,0.011,0.010,
0.011,0.019,0.013,0.012,0.009,0.010,0.023,0.010,0.009,0.017,0.012,0.013,0.012,0.013,0.012,0.015,0.011,0.017,0.011,0.011,0.012,0.012,0.012,0.011,0.011,
0.014,0.044,0.016,0.021,0.010,0.016,10.005,0.009,0.009,0.025,0.021,0.015,0.015,0.025,0.013,0.020,0.014,0.018,0.015,0.012,0.013,0.012,0.012,0.013,0.012,
0.016,0.140,0.022,0.082,0.009,0.038,10.014,0.009,0.009,0.032,0.078,0.020,0.025,0.053,0.015,0.029,0.016,0.026,0.016,0.012,0.013,0.012,0.011,0.015,0.017,
0.017,0.822,0.032,5.116,0.014,10.014,10.016,0.014,0.010,0.054,3.282,0.040,0.132,0.177,0.017,0.029,0.021,0.041,0.023,0.017,0.022,0.016,0.014,0.024,0.022,
0.023,8.542,0.055,10.007,0.015,10.016,10.016,0.010,0.011,0.069,10.006,0.062,0.084,0.436,0.021,0.044,0.019,0.031,0.024,0.016,0.014,0.012,0.022,0.016,0.024,
0.021,10.006,0.062,10.012,0.021,10.014,10.017,0.010,0.011,0.092,10.010,0.144,0.195,1.948,0.024,0.056,0.024,0.031,0.028,0.016,0.013,0.015,0.014,0.017,0.026,
0.030,10.007,0.058,10.015,0.022,10.015,10.020,0.013,0.012,0.089,10.015,0.471,0.646,5.743,0.034,0.036,0.033,0.047,0.031,0.016,0.013,0.014,0.029,0.031,0.028,
0.035,10.007,0.067,10.015,0.013,10.014,10.019,0.049,0.019,0.163,10.017,2.480,2.729,26.962,0.042,0.107,0.033,0.055,0.042,0.026,0.034,0.015,0.037,0.036,0.036,
0.045,10.009,0.088,10.015,0.020,10.015,10.017,0.017,0.012,0.159,10.014,7.576,9.390,1m12.378,0.062,0.060,0.025,0.072,0.049,0.020,0.014,0.016,0.033,0.030,0.048,
