PAD,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum
0.018,0.012,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.009,0.012,0.010,0.010,0.011,0.010,0.010,0.011,0.010,0.019,0.016,0.011,0.009,0.017,0.010s
0.010,0.012,0.011,0.010,0.010,0.009,0.010,0.010,0.011,0.011,0.010,0.011,0.011,0.010,0.009,0.012,0.010,0.012,0.011,0.010,0.010,0.010,0.010,0.010,0.010s
0.013,0.018,0.014,0.012,0.010,0.010,0.024,0.009,0.011,0.017,0.011,0.015,0.012,0.015,0.011,0.015,0.012,0.015,0.011,0.011,0.011,0.012,0.011,0.011,0.011s
0.013,0.039,0.016,0.019,0.009,0.014,10.006,0.009,0.010,0.024,0.021,0.014,0.016,0.026,0.014,0.020,0.014,0.018,0.013,0.012,0.013,0.012,0.012,0.013,0.013s
0.015,0.133,0.022,0.078,0.009,0.037,10.013,0.033,0.010,0.035,0.092,0.021,0.029,0.057,0.012,0.030,0.020,0.028,0.016,0.016,0.012,0.012,0.013,0.015,0.016s
0.017,0.984,0.034,5.855,0.014,10.012,10.014,0.013,0.010,0.052,3.324,0.044,0.137,0.184,0.018,0.034,0.022,0.046,0.022,0.023,0.014,0.019,0.016,0.021,0.022s
0.023,8.701,0.045,10.007,0.016,10.015,10.018,0.011,0.011,0.068,10.005,0.061,0.083,0.463,0.020,0.045,0.019,0.032,0.024,0.015,0.014,0.013,0.022,0.017,0.025s
0.023,10.006,0.058,10.012,0.011,10.014,10.017,0.038,0.011,0.090,10.010,0.140,0.209,2.015,0.025,0.057,0.024,0.031,0.028,0.016,0.013,0.014,0.014,0.017,0.023s
0.027,10.005,0.059,10.014,0.011,10.014,10.014,0.018,0.014,0.089,10.014,0.501,0.684,5.772,0.037,0.038,0.032,0.044,0.032,0.018,0.013,0.013,0.028,0.031,0.030s
0.034,10.008,0.078,10.019,0.026,10.014,10.016,0.010,0.011,0.142,10.014,2.417,2.789,27.526,0.040,0.109,0.033,0.057,0.039,0.017,0.013,0.013,0.033,0.037,0.036s
0.044,10.011,0.088,10.014,0.011,10.015,10.024,0.011,0.011,0.165,10.014,7.803,9.439,1m14.533,0.118,0.063,0.025,0.071,0.051,0.021,0.019,0.017,0.030,0.031,0.052s
