PAD,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum
0.019,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.01,0.009,0.012,0.01,0.01,0.011,0.01,0.011,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.009
0.01,0.012,0.012,0.009,0.01,0.008,0.01,0.009,0.01,0.012,0.009,0.011,0.011,0.01,0.011,0.014,0.01,0.013,0.011,0.009,0.01,0.01,0.01,0.011,0.01
0.012,0.019,0.014,0.011,0.009,0.01,0.012,0.009,0.009,0.018,0.011,0.011,0.013,0.013,0.012,0.016,0.012,0.017,0.012,0.011,0.012,0.012,0.011,0.012,0.011
0.012,0.046,0.016,0.012,0.01,0.01,0.014,0.009,0.009,0.025,0.014,0.011,0.023,0.024,0.013,0.018,0.017,0.028,0.014,0.012,0.011,0.013,0.013,0.012,0.013
0.014,0.149,0.02,0.014,0.009,0.012,0.022,0.01,0.009,0.033,0.018,0.011,0.024,0.05,0.015,0.029,0.016,0.04,0.016,0.013,0.011,0.012,0.015,0.012,0.014
0.018,0.909,0.032,0.014,0.01,0.012,0.045,0.009,0.01,0.053,0.023,0.011,0.087,0.161,0.017,0.028,0.018,0.061,0.022,0.013,0.012,0.012,0.015,0.014,0.018
0.022,8.352,0.039,0.017,0.009,0.014,0.104,0.009,0.009,0.065,0.026,0.011,0.319,0.588,0.019,0.026,0.02,0.114,0.027,0.015,0.011,0.013,0.012,0.023,0.022
0.024,10.003,0.047,0.02,0.01,0.015,0.324,0.009,0.01,0.072,0.032,0.012,1.185,1.769,0.023,0.032,0.024,0.142,0.025,0.015,0.011,0.012,0.013,0.021,0.024
0.028,10.004,0.064,0.021,0.01,0.016,3.649,0.011,0.011,0.113,0.04,0.011,0.617,6.202,0.031,0.043,0.023,0.233,0.034,0.018,0.012,0.013,0.015,0.028,0.03
0.032,10.006,0.069,0.022,0.01,0.017,14.795,0.027,0.013,0.114,0.05,0.013,2.739,20.516,0.039,0.036,0.023,0.248,0.036,0.017,0.02,0.014,0.016,0.036,0.033
0.05,10.008,0.129,0.04,0.013,0.036,10.004,0.014,0.012,0.171,0.063,0.012,11.093,1m11.996,0.057,0.056,0.025,0.393,0.048,0.018,0.012,0.013,0.017,0.04,0.052
