PAD,ack,copy_intro,e-fact,e-simple,hor,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum
0.015,0.011,0.011,0.01,0.009,0.01,0.01,0.01,0.011,0.01,0.009,0.01,0.01,0.01,0.01,0.011,0.01,0.01,0.009,0.011,0.01,0.01,0.011,0.01,0.009
0.009,0.013,0.011,0.009,0.01,0.009,0.009,0.009,0.01,0.012,0.009,0.011,0.011,0.01,0.01,0.013,0.01,0.013,0.011,0.01,0.01,0.011,0.01,0.01,0.01
0.011,0.019,0.014,0.011,0.009,0.011,0.011,0.009,0.01,0.017,0.011,0.012,0.012,0.014,0.013,0.016,0.015,0.017,0.012,0.012,0.012,0.012,0.015,0.013,0.012
0.015,0.048,0.019,0.011,0.011,0.012,0.016,0.01,0.012,0.026,0.014,0.012,0.024,0.027,0.014,0.021,0.015,0.031,0.015,0.012,0.012,0.013,0.015,0.013,0.016
0.016,0.16,0.021,0.014,0.013,0.014,0.023,0.012,0.011,0.039,0.018,0.013,0.024,0.053,0.015,0.03,0.016,0.041,0.017,0.014,0.011,0.012,0.015,0.013,0.017
0.018,0.971,0.033,0.015,0.01,0.012,0.045,0.01,0.01,0.05,0.022,0.011,0.085,0.167,0.017,0.025,0.017,0.063,0.02,0.013,0.013,0.012,0.016,0.015,0.018
0.024,8.17,0.038,0.017,0.009,0.013,0.099,0.01,0.01,0.067,0.03,0.011,0.362,0.617,0.021,0.027,0.02,0.118,0.024,0.014,0.012,0.012,0.013,0.021,0.022
0.024,10.003,0.044,0.021,0.011,0.016,0.347,0.009,0.009,0.075,0.032,0.011,1.234,1.836,0.025,0.036,0.023,0.16,0.027,0.014,0.011,0.013,0.014,0.022,0.025
0.029,10.004,0.08,0.02,0.011,0.016,4.059,0.013,0.013,0.129,0.046,0.013,0.675,6.445,0.031,0.042,0.022,0.232,0.031,0.015,0.012,0.013,0.013,0.017,0.029
0.032,10.005,0.067,0.023,0.01,0.017,14.702,0.02,0.013,0.113,0.05,0.014,2.717,20.553,0.05,0.035,0.024,0.254,0.035,0.018,0.013,0.014,0.016,0.035,0.034
0.05,10.008,0.108,0.032,0.012,0.029,10.005,0.013,0.014,0.163,0.066,0.014,11.189,1m11.775,0.061,0.06,0.027,0.468,0.051,0.018,0.014,0.014,0.027,0.041,0.055
