PAD,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum
0.012,0.011,0.010,0.011,0.010,0.010,0.011,0.011,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.026,0.011,0.010,0.010,0.010,0.011,0.010,0.009
0.009,0.013,0.011,0.010,0.010,0.009,0.010,0.009,0.010,0.013,0.009,0.010,0.011,0.010,0.010,0.013,0.010,0.013,0.012,0.009,0.011,0.011,0.010,0.010,0.010
0.011,0.019,0.013,0.010,0.009,0.010,0.011,0.009,0.011,0.016,0.011,0.013,0.013,0.014,0.011,0.016,0.013,0.017,0.012,0.011,0.012,0.012,0.012,0.011,0.011
0.014,0.045,0.017,0.011,0.010,0.011,0.016,0.010,0.010,0.025,0.014,0.011,0.023,0.024,0.014,0.019,0.014,0.028,0.014,0.012,0.011,0.013,0.012,0.013,0.012
0.015,0.150,0.019,0.014,0.009,0.011,1.442,0.010,0.009,0.033,0.018,0.012,0.023,0.051,0.015,0.029,0.016,0.040,0.019,0.017,0.012,0.012,0.014,0.012,0.014
0.018,0.941,0.032,0.015,0.009,0.012,10.005,0.013,0.010,0.049,0.021,0.014,0.087,0.153,0.017,0.026,0.017,0.061,0.020,10.003,0.014,0.017,0.016,0.015,0.019
0.022,7.148,0.047,0.017,0.009,0.014,10.005,0.010,0.010,0.064,0.027,0.013,0.306,0.584,0.020,0.026,0.020,0.114,0.025,10.003,0.013,0.012,0.013,0.022,0.023
0.024,10.002,0.060,0.020,0.009,0.016,10.005,0.015,0.010,0.073,0.033,0.013,1.196,1.760,0.024,0.033,0.025,0.144,0.028,10.005,0.021,0.017,0.022,0.025,0.026
0.029,10.004,0.064,0.023,0.014,0.023,10.008,0.012,0.012,0.112,0.041,0.013,0.648,6.244,0.031,0.043,0.024,0.234,0.033,10.004,0.028,0.013,0.015,0.020,0.030
0.032,10.005,0.073,0.023,0.011,0.018,10.004,0.012,0.011,0.111,0.049,0.014,3.086,21.091,0.040,0.037,0.024,0.264,0.037,10.004,0.015,0.018,0.025,0.050,0.034
0.049,10.004,0.108,0.030,0.012,0.020,10.009,0.016,0.012,0.152,0.066,0.012,10.410,1m7.428,0.064,0.063,0.027,0.421,0.054,10.005,0.013,0.014,0.017,0.037,0.053
