PAD,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum
,0.011,0.011,0.011,0.009,0.01,0.01,0.01,0.01,0.009,0.01,0.01,0.01,0.011,0.01,0.01,0.01,0.01,0.012,0.011,0.01,0.01,0.012,0.011,0.008
0.009,0.013,0.011,0.01,0.009,0.009,0.011,0.009,0.009,0.013,0.009,0.01,0.011,0.01,0.01,0.012,0.011,0.012,0.011,0.01,0.011,0.01,0.011,0.01,0.01
0.011,0.02,0.013,0.011,0.009,0.009,0.011,0.01,0.009,0.017,0.012,0.012,0.012,0.014,0.012,0.016,0.012,0.016,0.013,0.011,0.011,0.012,0.011,0.012,0.012
0.012,0.045,0.017,0.012,0.009,0.011,0.014,0.009,0.01,0.024,0.013,0.012,0.023,0.024,0.013,0.019,0.013,0.028,0.013,0.012,0.011,0.012,0.014,0.013,0.014
0.015,0.156,0.02,0.013,0.009,0.012,0.021,0.01,0.01,0.034,0.018,0.011,0.025,0.05,0.015,0.028,0.016,0.04,0.018,0.015,0.011,0.013,0.015,0.013,0.018
0.017,0.918,0.032,0.015,0.01,0.012,0.045,0.009,0.01,0.049,0.022,0.012,0.087,0.155,0.017,0.026,0.017,0.06,0.019,0.014,0.011,0.012,0.015,0.014,0.018
0.022,8.151,0.037,0.017,0.009,0.013,0.098,0.01,0.01,0.065,0.025,0.012,0.307,0.588,0.019,0.026,0.02,0.113,0.025,0.014,0.011,0.012,0.013,0.022,0.022
0.024,10.003,0.042,0.019,0.011,0.014,0.323,0.01,0.009,0.073,0.031,0.011,1.223,1.786,0.023,0.033,0.023,0.142,0.025,0.014,0.012,0.012,0.014,0.022,0.025
0.028,10.004,0.068,0.02,0.01,0.016,3.756,0.013,0.01,0.112,0.038,0.011,0.62,6.299,0.029,0.041,0.021,0.234,0.031,0.015,0.011,0.012,0.014,0.017,0.028
0.032,10.005,0.07,0.024,0.013,0.017,15.137,0.024,0.012,0.116,0.048,0.012,2.949,21.775,0.039,0.036,0.025,0.257,0.034,0.02,0.014,0.013,0.015,0.036,0.034
0.051,10.007,0.099,0.028,0.01,0.02,10.004,0.011,0.011,0.143,0.061,0.012,10.101,1m8.050,0.055,0.059,0.025,0.392,0.049,0.018,0.012,0.014,0.018,0.037,0.051
